"ACCT 215","Sophomore classification"
"ACCT 284","not open to first term freshmen"
"ACCT 285","ACCT 284"
"ACCT 301","ACCT 284"
"ACCT 316","ACCT 215"
"ACCT 383","ACCT 285 or ACCT 501; and ACCT 301"
"ACCT 384","ACCT 285 or ACCT 501; ACCT 301 and MIS 301"
"ACCT 386","ACCT 285 or ACCT 501 and ACCT 301"
"ACCT 387","ACCT 386"
"ACCT 483","ACCT 383 or ACCT 581"
"ACCT 484","ACCT 384"
"ACCT 485","ACCT 386 or ACCT 501"
"ACCT 487","ACCT 285 or ACCT 501"
"ACCT 488","ACCT 387"
"ACCT 490","ACCT 285, senior classification, permission of instructor"
"ACCT 495","ACCT 387"
"ACCT 496","ACCT 386 or ACCT 501"
"ACCT 497","ACCT 384, ACCT 387 and STAT 326"
"ACCT 498","ACCT 383, ACCT 384, ACCT 387, and ACCT 485."
"ACCT 501","Enrollment in MBA program or departmental permission"
"ACCT 581","ACCT 501 or equivalent"
"ACCT 582","MGMT 503 or permission"
"ACCT 583","ACCT 383 or ACCT 581"
"ACCT 584","ACCT 384"
"ACCT 585","ACCT 485"
"ACCT 586","ACCT 485"
"ACCT 587","ACCT 285 or ACCT 501"
"ACCT 588","ACCT 387"
"ACCT 590","Permission of instructor"
"ACCT 591","ACCT 497 or ACCT 501"
"ACCT 592","ACCT 284 or ACCT 501"
"ACCT 594","ACCT 387 or ACCT 592"
"ACCT 595","ACCT 387"
"ACCT 596","ACCT 386 or ACCT 501"
"ACCT 597","ACCT 497"
"ACCT 598","ACCT 386 or ACCT 501"
"ACCT 599","Admission to the Master of Accounting Program"
"ADVRT 230",""
"ADVRT 301","ADVRT 230 or P R 220; Sophomore classification"
"ADVRT 334","Minimum of C+ in JL MC 201; ADVRT 301/P R 301"
"ADVRT 335","ADVRT/P R 301"
"ADVRT 336","Minimum of C+ in JL MC 201; ADVRT/P R 301"
"ADVRT 390","Minimum of C+ in JL MC 201; other vary by topic. Instructor permission for non-majors."
"ADVRT 434","Minimum of C+ in ADVRT 334 or ADVRT 336, and major status"
"ADVRT 435","Permission of instructor, Junior/senior standing strongly recommended"
"ADVRT 436","Minimum of C+ in ADVRT 334, non-majors with instructor permission"
"ADVRT 497",""
"ADVRT 499","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval."
"ADVRT 499A","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval."
"ADVRT 499B","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval."
"AER E 101H","Membership in the Freshman Honors Program"
"AER E 112",""
"AER E 160","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165"
"AER E 160H","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165"
"AER E 161","AER E 160 or equivalent course"
"AER E 161H","AER E 160 or equivalent course"
"AER E 192",""
"AER E 192H",""
"AER E 261","AER E 161, MATH 166, PHYS 221"
"AER E 265",""
"AER E 290","Sophomore classification, approval of the department"
"AER E 290A","Sophomore classification, approval of the department"
"AER E 290B","AER E 301"
"AER E 290C","AER E 301"
"AER E 291",""
"AER E 292",""
"AER E 298","Permission of department and Engineering Career Services"
"AER E 301","Credit or enrollment in AER E 355"
"AER E 310","Grade of C- or better in AER E 261 and MATH 265"
"AER E 311","AER E 310, M E 231"
"AER E 321","E M 324, Credit or enrollment in MATH 266 or 267"
"AER E 322","Credit or enrollment in AER E 321"
"AER E 331","AER E 355"
"AER E 344","AER E 310; Coreq: AER E 311"
"AER E 351","E M 345, AER E 261, Credit or enrollment in AER E 310"
"AER E 355","AER E 261, MATH 267, E M 345"
"AER E 361","AER E 310, MATH 267, E M 324, E M 345"
"AER E 362","Junior standing in Aerospace Engineering or permission of instructor"
"AER E 381","MATH 166, PHYS 221"
"AER E 391",""
"AER E 392",""
"AER E 396","Permission of department and Engineering Career Services"
"AER E 397","Permission of department and Engineering Career Services"
