id,number,name,description,prereqs,numCredits,departmentID
1,"ACCT 215","Legal Environment of Business","General history, structure, and principles of law. The legal system, as an agency of social control; good business practices, and tool for change. The court systems, Constitution, torts, contracts, administrative agencies, and agency law.","Sophomore classification",3,1
2,"ACCT 284","Financial Accounting","Introduction to the basic concepts and procedures of financial accounting from a user perspective. The course examines the accounting cycle, business terminology, basic control procedures, and the preparation and evaluation of financial reports, with an emphasis on financial statement analysis.","not open to first term freshmen",3,1
3,"ACCT 285","Managerial Accounting","Understanding of fixed and variable costs and their role in planning, control and performance evaluation.  Examination of alternative costing methods.  Making decisions by identifying and developing relevant information.  Development of spreadsheet skills.","ACCT 284",3,1
4,"ACCT 301","The Accounting Cycle","Interactive computer-based analysis of the accounting cycle including transactions and financial statements.  Preparation of journal entries and adjusting entries and completion of the closing process.","ACCT 284",1,1
5,"ACCT 316","Business Law","Continuation of 215. Sales under the Uniform Commercial Code, negotiable instruments, secured transactions, property transactions, partnerships, and wills and estates.","ACCT 215",3,1
6,"ACCT 383","Intermediate Managerial Accounting","Generation, communication and use of information to assist management with planning, control, and decision making in manufacturing and service organizations.  Includes cost concepts and relevance to decision situations, operational and capital budgeting, and performance evaluation.  Emphasis on developing effective teamwork skills as well as spreadsheet capabilities.","ACCT 285 or ACCT 501; and ACCT 301",3,1
7,"ACCT 384","Accounting Information Systems","Analysis of concepts and procedures underlying the automated accumulation and processing of accounting data. EDP internal control and audit techniques. Trends in accounting information systems.","ACCT 285 or ACCT 501; ACCT 301 and MIS 301",3,1
8,"ACCT 386","Intermediate Accounting I","The conceptual framework of financial accounting. Communication of financial information on the income and retained earnings statements, statement of cash flows, and the balance sheet. Accounting concepts relating to current and operational assets of the firm. Identification of material differences between US GAAP and International Accounting Standards.","ACCT 285 or ACCT 501 and ACCT 301",3,1
9,"ACCT 387","Intermediate Accounting II","Financial accounting and reporting practices for business entities. Generally accepted accounting principles (GAAP) relative to firm liabilities, equity, income, taxes, employee benefits, leases, accounting changes and cash flows. Identification of material differences between US GAAP and International Accounting Standards .  Discussion of current issues in financial accounting.  Focus on written communication.","ACCT 386",3,1
10,"ACCT 483","Advanced Managerial Accounting","Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, and oral presentation skills.","ACCT 383 or ACCT 581",3,1
11,"ACCT 484","Advanced Accounting Information Systems","Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.","ACCT 384",3,1
12,"ACCT 485","Principles of Federal Income Tax","Introduction to the fundamentals of federal income taxation and concepts applicable to all tax entities. Addresses issues related to the measurement and recognition of income, deductions, gains, and losses, taxation of property transactions, and basis / cost recovery concepts. Includes coverage of tax law policy objectives, tax implications of business and investment decisions, tax versus financial reporting treatment of common business transactions, and ethical issues related to tax compliance and planning.","ACCT 386 or ACCT 501",3,1
13,"ACCT 487","Volunteer Income Tax Assistance","Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.","ACCT 285 or ACCT 501",1,1
14,"ACCT 488","Governmental and Non-profit Institution Accounting","Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals.  In addition, accounting and financial reporting of non-profit organizations will be addressed.  Financial statements of local governmental units and the university are explored.","ACCT 387",3,1
15,"ACCT 490","Independent Study",,"ACCT 285, senior classification, permission of instructor",1-3,1
16,"ACCT 495","Advanced Accounting Problems","Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting;  Segment and Interim Reporting;  Multinational accounting.","ACCT 387",3,1
17,"ACCT 496","International Accounting","Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.","ACCT 386 or ACCT 501",3,1
18,"ACCT 497","Introduction to Auditing","The conceptual framework of auditing. Professional ethics. External reporting concepts. Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.","ACCT 384, ACCT 387 and STAT 326",3,1
19,"ACCT 498","Capstone in Accounting","Integrative studies in accounting. Development of critical thinking, ethical reasoning, professional research and teamwork skills. Written, visual, and oral communication with corporate stakeholders.","ACCT 383, ACCT 384, ACCT 387, and ACCT 485.",2,1
20,"ACCT 501","Financial Accounting","A general introduction to financial accounting information. Topics covered include the use and analysis of financial information, the regulatory environment, the role of International Financial Reporting Standards (IFRS), and the use of the internet and electronic spreadsheets as a means of accessing and analyzing financial data.","Enrollment in MBA program or departmental permission",3,1
21,"ACCT 581","Accounting for Decision Making","Decision analysis applied to managerial accounting issues. Generation of information for management decision making and control. Responsibility accounting and non-recurring decisions.","ACCT 501 or equivalent",3,1
22,"ACCT 582","Corporate Governance and Top Management","Duties, structure, and functioning of top management teams and corporate boards of directors. CEO/board tenure and succession planning, top management compensation, board committee composition, assessment of CEO and board performance, theories of corporate governance, management of the corporate strategic agenda, governance codes, international governance, and chairman/CEO duality. Case studies and contemporary issues discussed.","MGMT 503 or permission",3,1
23,"ACCT 583","Advanced Managerial Accounting","Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, and oral presentation skills.","ACCT 383 or ACCT 581",3,1
24,"ACCT 584","Advanced Accounting Information Systems","Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.","ACCT 384",3,1
25,"ACCT 585","Taxes and Business Strategy","Integration of concepts from accounting, finance, and economics to determine how taxes affect business decisions. Provides students with a conceptual framework for thinking about business tax planning and applies it to various common business decisions.","ACCT 485",3,1
26,"ACCT 586","Advanced Federal Taxation","Advanced coverage of federal taxation including issues related to the taxation of corporations, partnerships, estates and trusts, and their owners. Includes coverage of rules, concepts, background, and planning opportunities related to a number of common transactions involving these entities.","ACCT 485",3,1
27,"ACCT 587","Volunteer Income Tax Assistance","Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.","ACCT 285 or ACCT 501",1,1
28,"ACCT 588","Governmental and Non-profit Institution Accounting","Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals.  In addition, accounting and financial reporting of non-profit organizations will be addressed.  Financial statements of local governmental units and the university are explored.","ACCT 387",3,1
29,"ACCT 590","Special Topics","For students wishing to do individual research in a particular area of accounting.","Permission of instructor",1-3,1
30,"ACCT 591","Fraud Examination and Prevention","Principles and methodology of fraud detection and deterrence. Addresses the causes and elements of fraud, asset theft, corruption, financial statement mis-representation, internal controls for fraud prevention, investigative evidence gathering, and legal aspects of fraud.","ACCT 497 or ACCT 501",3,1
31,"ACCT 592","Financial Statement Analysis","Presentation and analysis of financial statement information from the point of view of the primary users of such data: owners and creditors. Topics include the financial reporting system, the primary financial statements, effects of accounting method choice on reported financial data, and firm valuation.","ACCT 284 or ACCT 501",3,1
32,"ACCT 594","Business Valuation","Using financial statement analysis to value the firm. Topics covered include assessing how well a firm's financial statements reflect the economic effects of its resource management strategies and constructing proforma financial information that will serve as inputs to valuation models.","ACCT 387 or ACCT 592",3,1
33,"ACCT 595","Advanced Accounting Problems","Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting;  Segment and Interim Reporting;  Multinational accounting.","ACCT 387",3,1
34,"ACCT 596","International Accounting","Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.","ACCT 386 or ACCT 501",3,1
35,"ACCT 597","Advanced Auditing and Assurance Services","A study of advanced auditing and assurance issues. Topics include risk analysis, internal control, fraud detection, analytical procedures, evaluating operational and strategic objectives, and reporting and implementing audit findings.","ACCT 497",3,1
36,"ACCT 598","Financial Accounting: Theory and Contemporary Issues","Theoretical discussion of the financial accounting and reporting environment. The usefulness of financial accounting information for decision making. Current financial accounting issues, the financial accounting standard setting process,  FASB Standards Codification, and the role of the SEC in financial reporting.","ACCT 386 or ACCT 501",3,1
37,"ACCT 599","Creative Component","This course prepares students to complete their creative component project option in the Master of Accounting degree.","Admission to the Master of Accounting Program",2,1
38,"ADVRT 230","Advertising Principles","Historical, social, economic and legal aspects of advertising. Evaluations of advertising research, media, strategy and appeals. Study of the creation of advertising.",,3,2
39,"ADVRT 301","Research and Strategic Planning for Advertising and Public Relations","The use of primary and secondary research for situations, organizations and the public.  Formation and development of strategic plans for public relations and advertising students.","ADVRT 230 or P R 220; Sophomore classification",3,2
40,"ADVRT 334","Advertising Creativity","Development and execution of creative advertising materials. Copywriting, art direction and computer applications. Creative strategy development, execution and evaluation.","Minimum of C+ in JL MC 201; ADVRT 301/P R 301",3,2
41,"ADVRT 335","Advertising Media Planning","Concepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of market segmentation, consumer buying and media audience databases.","ADVRT/P R 301",3,2
42,"ADVRT 336","Advertising Account Management","Fundamentals of account management with emphasis on leadership, sales techniques, relationship building, presentation skills, and strategic thinking. Includes aspects of agency communications, team building, client management, evaluating creative concepts and media plans, and developing strategic proposals and campaign recommendations.","Minimum of C+ in JL MC 201; ADVRT/P R 301",3,2
43,"ADVRT 390","Professional Skills Development","Check with Greenlee School for course availability.","Minimum of C+ in JL MC 201; other vary by topic. Instructor permission for non-majors.",1-3,2
44,"ADVRT 434","Advertising Campaigns","Development of advertising campaigns for business and social institutions. Projects involve budgeting, media selection, market analysis, campaign strategy and creative execution.","Minimum of C+ in ADVRT 334 or ADVRT 336, and major status",3,2
45,"ADVRT 435","Advertising Competition","Preparation of materials for regional and national competitions.","Permission of instructor, Junior/senior standing strongly recommended",1-3,2
46,"ADVRT 436","Advertising Portfolio Practicum","Advanced advertising writing and design. Emphasis on creative strategy, problem solving and execution of creative materials in print, broadcast and online media for a variety of clients.","Minimum of C+ in ADVRT 334, non-majors with instructor permission",3,2
47,"ADVRT 497","Special Topics in Communication","Seminars or one-time classes on topics of relevance to students in communication.",,1-3,2
48,"ADVRT 499","Professional Media Internship","Required of all Greenlee School majors. A 400-hour (for 3 credits) internship in the student's journalism and mass communication or advertising or public relations specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval.",1-3,2
49,"ADVRT 499A","Professional Media Internship: Required","Initial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval.",3,2
50,"ADVRT 499B","Professional Media Internship: Optional","Optional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.","JL MC  majors: minimum of C+ in JL MC 202 or JL MC 206 or P R 321; ADVRT majors: minimum of C+ in JL MC 201 and ADVRT 301; P R majors: minimum of C+ in P R 321. All students, junior classification, formal faculty adviser approval.",1-3,2
