id,name,college_id
326,"Undecided - Agricultural and Life Sciences",1
327,"Undecided - Business",2
328,"Undecided - Design",3
329,"Undecided - Engineering",4
330,"Undecided - Human Sciences",6
331,"Undecided - Liberal Arts and Sciences",7
332,"Undecided - Open Option",7
333,Accounting,2
334,Advertising,7
335,"Aerospace Engineering",4
336,"Agricultural Biochemistry",1
337,"Agricultural Business",1
338,"Agricultural Engineering",4
339,"Agricultural Studies",1
340,"Agricultural Systems Technology",1
341,"Agriculture and Life Sciences Education",1
342,"Agriculture and Life Sciences Exploration",1
343,"Agriculture and Society",1
344,Agronomy,1
345,"Animal Ecology",1
346,"Animal Science",1
347,Anthropology,7
348,"Apparel, Merchandising, and Design",6
349,Architecture,3
350,"Art and Design",3
351,"Athletic Training",6
352,Biochemistry,7
353,"Bioinformatics and Computational Biology",7
354,"Biological Pre-Medical Illustration",7
355,"Biological Systems Engineering",4
356,"Biology - AGLS",1
357,"Biology - LAS",7
358,Biophysics,7
359,"Botany (Biology)",7
360,"Business Economics",2
361,"Chemical Engineering",4
362,Chemistry,7
363,"Child, Adult and Family Services",6
364,"Civil Engineering",4
365,"Classical Studies (Interdisciplinary Studies)",7
366,"Communication Studies",7
367,"Community and Regional Planning",3
368,"Computer Engineering",4
369,"Computer Science",7
370,"Construction Engineering",4
371,"Criminology and Criminal Justice (Interdisciplinary Studies)",7
372,"Culinary Science - AGLS",1
373,"Culinary Science - H SCI",6
374,"Undecided - Agricultural and Life Sciences",1
375,"Undecided - Business",2
376,"Undecided - Design",3
377,"Undecided - Engineering",4
378,"Undecided - Human Sciences",6
379,"Undecided - Liberal Arts and Sciences",7
380,"Undecided - Open Option",7
381,Accounting,2
382,Advertising,7
383,"Aerospace Engineering",4
384,"Agricultural Biochemistry",1
385,"Agricultural Business",1
386,"Agricultural Engineering",4
387,"Agricultural Studies",1
388,"Agricultural Systems Technology",1
389,"Agriculture and Life Sciences Education",1
390,"Agriculture and Life Sciences Exploration",1
391,"Agriculture and Society",1
392,Agronomy,1
393,"Animal Ecology",1
394,"Animal Science",1
395,Anthropology,7
396,"Apparel, Merchandising, and Design",6
397,Architecture,3
398,"Art and Design",3
399,"Athletic Training",6
400,Biochemistry,7
401,"Bioinformatics and Computational Biology",7
402,"Biological Pre-Medical Illustration",7
403,"Biological Systems Engineering",4
404,"Biology - AGLS",1
405,"Biology - LAS",7
406,Biophysics,7
407,"Botany (Biology)",7
408,"Business Economics",2
409,"Chemical Engineering",4
410,Chemistry,7
411,"Child, Adult and Family Services",6
412,"Civil Engineering",4
413,"Classical Studies (Interdisciplinary Studies)",7
414,"Communication Studies",7
415,"Community and Regional Planning",3
416,"Computer Engineering",4
417,"Computer Science",7
418,"Construction Engineering",4
419,"Criminology and Criminal Justice (Interdisciplinary Studies)",7
420,"Culinary Science - AGLS",1
421,"Culinary Science - H SCI",6
422,"Undecided - Agricultural and Life Sciences",1
423,"Undecided - Business",2
424,"Undecided - Design",3
425,"Undecided - Engineering",4
426,"Undecided - Human Sciences",6
427,"Undecided - Liberal Arts and Sciences",7
428,"Undecided - Open Option",7
429,Accounting,2
430,Advertising,7
431,"Aerospace Engineering",4
432,"Agricultural Biochemistry",1
433,"Agricultural Business",1
434,"Agricultural Engineering",4
435,"Agricultural Studies",1
436,"Agricultural Systems Technology",1
437,"Agriculture and Life Sciences Education",1
438,"Agriculture and Life Sciences Exploration",1
439,"Agriculture and Society",1
440,Agronomy,1
441,"Animal Ecology",1
442,"Animal Science",1
443,Anthropology,7
444,"Apparel, Merchandising, and Design",6
445,Architecture,3
446,"Art and Design",3
447,"Athletic Training",6
448,Biochemistry,7
449,"Bioinformatics and Computational Biology",7
450,"Biological Pre-Medical Illustration",7
451,"Biological Systems Engineering",4
452,"Biology - AGLS",1
453,"Biology - LAS",7
454,Biophysics,7
455,"Botany (Biology)",7
456,"Business Economics",2
457,"Chemical Engineering",4
458,Chemistry,7
459,"Child, Adult and Family Services",6
460,"Civil Engineering",4
461,"Classical Studies (Interdisciplinary Studies)",7
462,"Communication Studies",7
463,"Community and Regional Planning",3
464,"Computer Engineering",4
465,"Computer Science",7
466,"Construction Engineering",4
467,"Criminology and Criminal Justice (Interdisciplinary Studies)",7
468,"Culinary Science - AGLS",1
469,"Culinary Science - H SCI",6
470,"Dairy Science",7
471,"Dance (Performing Arts)",7
472,Design,3
473,"Design - Fashion (Apparel, Merchandising, and Design)",3
474,"Diet and Exercise - AGLS",1
475,"Diet and Exercise - H SCI",6
476,"Dietetics - AGLS",1
477,"Dietetics - H SCI",6
478,"Early Childcare Education and Programming (non-licensure)",6
479,"Early Childhood Education (teacher licensure)",6
480,"Earth Science",7
481,Economics,7
482,"Education: Agriculture and Life Sciences Education",6
483,"Education: Biology - AGLS",6
484,"Education: Biology - LAS",7
485,"Education: Chemistry",7
486,"Education: Early Childhood Education",6
487,"Education: Earth Science",7
488,"Education: Elementary Education",6
489,"Education: English",7
490,"Education: Family and Consumer Sciences Education and Studies",6
491,"Education: History",7
492,"Education: Kinesiology and Health",6
493,"Education: Mathematics",7
494,"Education: Music",7
495,"Education: Physics",7
496,"Education: Political Science",6
497,"Education: Speech Communication",6
498,"Electrical Engineering",4
499,"Elementary Education",6
500,English,7
501,"Environmental Science - AGLS",1
502,"Environmental Science - LAS",7
503,"Event Management",6
504,"Family & Consumer Sciences Education and Studies",6
505,"Fashion Merchandising (Apparel Merchandising, Design, and Production)",6
506,Finance,2
507,"Financial Counseling and Planning",6
508,"Fine Arts (Integrated Studio Arts)",3
509,"Food Science - AGLS",1
510,"Food Science - H SCI",6
511,Forestry,1
512,"Genetics - AGLS",1
513,"Genetics - LAS",7
514,Geology,7
515,"Global Resource Systems",1
516,"Graphic Design",3
517,History,7
518,Horticulture,1
519,"Hospitality Management",6
520,"Industrial Design",3
521,"Industrial Engineering",4
522,"Industrial Technology",1
523,"Integrated Studio Arts",3
524,"Interior Design",3
525,"Journalism and Mass Communication",7
526,"Kinesiology and Health",6
527,"Kinesiology and Health major (Community and Public Health)",6
528,"Kinesiology and Health major (Exercise Science)",6
529,"Kinesiology and Health major (Physical Education Licensure)",6
530,"Kinesiology and Health major (Pre-Health Professions)",6
531,"Landscape Architecture",3
