Undecided - Agricultural and Life Sciences,1
Undecided - Business,2
Undecided - Design,3
Undecided - Engineering,4
Undecided - Human Sciences,6
Undecided - Liberal Arts and Sciences,7
Undecided - Open Option,7
Accounting,2
Advertising,7
Aerospace Engineering,4
Agricultural Biochemistry,1
Agricultural Business,1
Agricultural Engineering,4
Agricultural Studies,1
Agricultural Systems Technology,1
Agriculture and Life Sciences Education,1
Agriculture and Life Sciences Exploration,1
Agriculture and Society,1
Agronomy,1
Animal Ecology,1
Animal Science,1
Anthropology,7
"Apparel, Merchandising, and Design",6
Architecture,3
Art and Design,3
Athletic Training,6
Biochemistry,7
Bioinformatics and Computational Biology,7
Biological Pre-Medical Illustration,7
Biological Systems Engineering,4
Biology - AGLS,1
Biology - LAS,7
Biophysics,7
Botany (Biology),7
Business Economics,2
Chemical Engineering,4
Chemistry,7
"Child, Adult and Family Services",6
Civil Engineering,4
Classical Studies (Interdisciplinary Studies),7
Communication Studies,7
Community and Regional Planning,3
Computer Engineering,4
Computer Science,7
Construction Engineering,4
Criminology and Criminal Justice (Interdisciplinary Studies),7
Culinary Science - AGLS,1
Culinary Science - H SCI,6
Dairy Science,
Dance (Performing Arts),7
Design,3
"Design - Fashion (Apparel, Merchandising, and Design)",3
Diet and Exercise - AGLS,1
Diet and Exercise - H SCI,6
Dietetics - AGLS,1
Dietetics - H SCI,6
Early Childcare Education and Programming (non-licensure),6
Early Childhood Education (teacher licensure),6
Earth Science,7
Economics,7
Education: Agriculture and Life Sciences Education,6
Education: Biology - AGLS,6
Education: Biology - LAS,7
Education: Chemistry,7
Education: Early Childhood Education,6
Education: Earth Science,7
Education: Elementary Education,6
Education: English,7
Education: Family and Consumer Sciences Education and Studies,6
Education: History,7
Education: Kinesiology and Health,6
Education: Mathematics,7
Education: Music,7
Education: Physics,7
Education: Political Science,6
Education: Speech Communication,6
Electrical Engineering,4
Elementary Education,6
English,7
Environmental Science - AGLS,1
Environmental Science - LAS,7
Event Management,6
Family & Consumer Sciences Education and Studies,6
"Fashion Merchandising (Apparel Merchandising, Design, and Production)",6
Finance,2
Financial Counseling and Planning,6
Fine Arts (Integrated Studio Arts),3
Food Science - AGLS,1
Food Science - H SCI,6
Forestry,1
Genetics - AGLS,1
Genetics - LAS,7
Geology,7
Global Resource Systems,1
Graphic Design,3
History,7
Horticulture,1
Hospitality Management,6
Industrial Design,3
Industrial Engineering,4
Industrial Technology,1
Integrated Studio Arts,3
Interior Design,3
Journalism and Mass Communication,7
Kinesiology and Health,6
Kinesiology and Health major (Community and Public Health),6
Kinesiology and Health major (Exercise Science),6
Kinesiology and Health major (Physical Education Licensure),6
Kinesiology and Health major (Pre-Health Professions),6
Landscape Architecture,3
"Latino/a Studies, U.S. Program (Interdisciplinary Studies)",7
Liberal Studies,7
Linguistics,7
Management,2
Management Information Systems,2
Marketing,2
Materials Engineering,4
Mathematics,7
Mechanical Engineering,4
Meteorology,7
Microbiology,1
Music,7
Nutritional Science - AGLS,1
Nutritional Science - H SCI,6
Open Option - Undecided,7
Performing Arts,7
Philosophy,7
Physical Education (Kinesiology and Health),7
Physics,7
Political Science,7
Pre-Human Medicine,6
Pre-Law,6
Preprofessional Health Programs,6
Psychology,7
Public Relations,7
Religious Studies,7
Sociology,7
Software Engineering,4
Speech Communication,7
Statistics,7
Supply Chain Management,2
Technical Communication,7
Theatre (Performing Arts),7
Veterinary Medicine,8
Women's Studies,7
World Languages and Cultures: French,7
World Languages and Cultures: German,7
World Languages and Cultures: Spanish,7
Zoology (Biology),7
,
Environmental Studies,1
Industrial Technology,1
Seed Science,1
International Business,2
Engineering Mechanics,4
Entrepreneurial Studies,6
International Studies,7
World Languages and Cultures Education,7
